sequenceID,mad,log.mad,hall,log.hall,emilie,n,log.n,log2.n,bases,log.bases,probes.per.base,log.probes.per.base,bases.per.probe,log.bases.per.probe,rss.1,rss.2,rss.3,rss.4,rss.5,rss.6,rss.7,rss.8,rss.9,rss.10,rss.11,rss.12,rss.13,rss.14,rss.15,rss.16,rss.17,rss.18,rss.19,rss.20,log.rss.1,log.rss.2,log.rss.3,log.rss.4,log.rss.5,log.rss.6,log.rss.7,log.rss.8,log.rss.9,log.rss.10,log.rss.11,log.rss.12,log.rss.13,log.rss.14,log.rss.15,log.rss.16,log.rss.17,log.rss.18,log.rss.19,log.rss.20,mse.1,mse.2,mse.3,mse.4,mse.5,mse.6,mse.7,mse.8,mse.9,mse.10,mse.11,mse.12,mse.13,mse.14,mse.15,mse.16,mse.17,mse.18,mse.19,mse.20,log.mse.1,log.mse.2,log.mse.3,log.mse.4,log.mse.5,log.mse.6,log.mse.7,log.mse.8,log.mse.9,log.mse.10,log.mse.11,log.mse.12,log.mse.13,log.mse.14,log.mse.15,log.mse.16,log.mse.17,log.mse.18,log.mse.19,log.mse.20,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,n.loglog
1_chr1,0.070329117,-2.654569391,0.086359997,-2.449230707,2.852001307,474,6.161207322,1.818272752,248253911,19.32996262,1.91E-06,-13.16875529,523742.4283,13.16875529,15.91498747,7.404856927,5.519199635,4.303004733,4.023535232,3.813875853,3.689166012,3.557869167,3.433159327,3.361407098,3.293465763,3.221856021,3.158576768,3.090431347,3.027152094,2.977329745,2.914050493,2.870267129,2.808197585,2.764414221,2.767261274,2.002136126,1.708232856,1.459313554,1.392160927,1.338645956,1.30540042,1.269161817,1.233480924,1.212359665,1.191940434,1.169957598,1.150121536,1.128310676,1.107622275,1.09102684,1.069544035,1.054405102,1.032542849,1.016828758,0.033575923,0.015622061,0.011643881,0.009078069,0.008488471,0.008046152,0.007783051,0.007506053,0.007242952,0.007091576,0.00694824,0.006797165,0.006663664,0.006519897,0.006386397,0.006281286,0.006147786,0.006055416,0.005924467,0.005832098,-3.393946048,-4.159071195,-4.452974466,-4.701893768,-4.769046394,-4.822561365,-4.855806902,-4.892045504,-4.927726398,-4.948847656,-4.969266888,-4.991249724,-5.011085785,-5.032896646,-5.053585047,-5.070180481,-5.091663286,-5.10680222,-5.128664473,-5.144378564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818272752
2_chr1,0.084460353,-2.471473049,0.118075646,-2.13642979,2.857225774,496,6.206575927,1.825609363,248253911,19.32996262,2.00E-06,-13.12338669,500511.9173,13.12338669,78.73927719,7.830206876,7.399849239,7.097412444,6.822284552,6.578629857,6.303501965,6.09466977,5.951012207,5.742180012,5.631341574,5.431383295,5.324797326,5.208726591,5.104053028,5.000787199,4.896113636,4.800835305,4.716012736,4.620734404,4.366142106,2.057988931,2.001459627,1.959730273,1.920194394,1.883826495,1.841105346,1.807414581,1.783561324,1.747838931,1.728347704,1.692193852,1.67237465,1.65033541,1.630034935,1.60959534,1.588441755,1.568789925,1.550963683,1.530553654,0.158748543,0.015786707,0.014919051,0.014309299,0.013754606,0.013263367,0.012708673,0.012287641,0.011998008,0.011576976,0.011353511,0.01095037,0.010735478,0.010501465,0.010290429,0.010082232,0.009871197,0.009679103,0.00950809,0.009315997,-1.840433821,-4.148586996,-4.2051163,-4.246845654,-4.286381533,-4.322749432,-4.36547058,-4.399161346,-4.423014603,-4.458736995,-4.478228223,-4.514382075,-4.534201277,-4.556240517,-4.576540991,-4.596980587,-4.618134172,-4.637786002,-4.655612244,-4.676022272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825609363
4_chr1,0.093553516,-2.369221648,0.12144402,-2.108301864,2.840144935,428,6.059123196,1.801565102,248253911,19.32996262,1.72E-06,-13.27083942,580032.5023,13.27083942,32.94849187,6.763526992,6.373198982,6.264298575,6.062206989,5.972584747,5.789162838,5.678176768,5.568806521,5.457820451,5.355024316,5.263524771,5.180318629,5.089065604,5.001207381,4.917886314,4.830582296,4.743427147,4.655568923,4.57236278,3.494945489,1.911544498,1.852101539,1.834866623,1.802073923,1.78717979,1.755987694,1.73663019,1.717180762,1.697049525,1.678035245,1.660800911,1.644866566,1.627094239,1.609679359,1.592878827,1.574967018,1.556759901,1.538064121,1.520030091,0.076982458,0.015802633,0.014890652,0.014636212,0.014164035,0.013954637,0.013526081,0.013266768,0.01301123,0.012751917,0.012511739,0.012297955,0.012103548,0.01189034,0.011685064,0.011490389,0.011286407,0.011082774,0.010877497,0.010683091,-2.564177706,-4.147578697,-4.207021657,-4.224256573,-4.257049272,-4.271943406,-4.303135502,-4.322493006,-4.341942434,-4.36207367,-4.381087951,-4.398322285,-4.41425663,-4.432028957,-4.449443836,-4.466244368,-4.484156177,-4.502363294,-4.521059075,-4.539093104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.801565102
5_chr1,0.033,-3.411247718,0.039868952,-3.222157405,2.865668671,534,6.280395839,1.83743301,244423799,19.31441416,2.18E-06,-13.03401832,457722.47,13.03401832,0.994060803,0.939722886,0.901974565,0.876164993,0.855052419,0.836674239,0.817274696,0.798896517,0.783344199,0.764966019,0.75248335,0.734149319,0.721659052,0.705603526,0.693113259,0.682496993,0.670375615,0.659759349,0.651083095,0.640340742,-0.005956904,-0.06217025,-0.103168958,-0.132200858,-0.156592504,-0.178320485,-0.201780015,-0.224523857,-0.24418309,-0.267923866,-0.284376408,-0.309042839,-0.326202479,-0.348701778,-0.366561861,-0.381997158,-0.399917105,-0.415880133,-0.429118003,-0.445754835,0.001861537,0.001759781,0.001689091,0.001640758,0.001601222,0.001566806,0.001530477,0.001496061,0.001466937,0.001432521,0.001409145,0.001374811,0.001351421,0.001321355,0.001297965,0.001278084,0.001255385,0.001235504,0.001219257,0.00119914,-6.286352743,-6.342566089,-6.383564797,-6.412596697,-6.436988343,-6.458716324,-6.482175854,-6.504919696,-6.524578929,-6.548319705,-6.564772247,-6.589438678,-6.606598318,-6.629097616,-6.6469577,-6.662392997,-6.680312944,-6.696275972,-6.709513842,-6.726150674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83743301
6_chr1,0.055,-2.900422094,0.077801863,-2.553589902,2.865668671,534,6.280395839,1.83743301,244423799,19.31441416,2.18E-06,-13.03401832,457722.47,13.03401832,4.485007272,3.985647649,3.809553783,3.33538593,3.294937663,2.993811746,2.953363479,2.864485114,2.791708571,2.716360375,2.651669175,2.577024609,2.537446593,2.479742039,2.438557539,2.390255935,2.349071435,2.30599934,2.266421323,2.230650906,1.500740117,1.382699821,1.337512065,1.204588394,1.192387249,1.096547407,1.082944683,1.052388618,1.026653799,0.999292887,0.975189319,0.946635481,0.931158297,0.908154538,0.891406692,0.871400446,0.854020116,0.835514136,0.818202078,0.802293429,0.00839889,0.00746376,0.007133996,0.006246041,0.006170295,0.005606389,0.005530643,0.005364204,0.005227919,0.005086817,0.004965673,0.004825889,0.004751773,0.004643712,0.004566587,0.004476135,0.00439901,0.004318351,0.004244235,0.004177249,-4.779655722,-4.897696018,-4.942883774,-5.075807445,-5.08800859,-5.183848432,-5.197451156,-5.228007221,-5.25374204,-5.281102952,-5.30520652,-5.333760358,-5.349237542,-5.372241301,-5.388989147,-5.408995393,-5.426375723,-5.444881703,-5.462193761,-5.47810241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83743301
7_chr1,0.057777775,-2.851151095,0.085041943,-2.464610694,2.860192925,509,6.232448017,1.829769196,248253911,19.32996262,2.05E-06,-13.0975146,487728.7053,13.0975146,69.10132669,5.67315854,4.001816538,3.823361926,3.576968092,3.412562488,3.295449236,3.131043632,3.015122194,2.906954165,2.81491926,2.746635553,2.663574433,2.591844246,2.523560539,2.464906195,2.396622488,2.343218813,2.293112489,2.224828782,4.23557393,1.735746024,1.386748393,1.341130121,1.27451554,1.227463472,1.192542497,1.141366378,1.103640358,1.067105854,1.034933579,1.010376727,0.979668993,0.952369686,0.925670816,0.902153752,0.874060449,0.851525545,0.82991006,0.799679961,0.135758992,0.011145695,0.007862115,0.007511517,0.007027442,0.006704445,0.00647436,0.006151363,0.005923619,0.005711108,0.005530293,0.005396141,0.005232956,0.005092032,0.004957879,0.004842645,0.004708492,0.004603573,0.004505133,0.00437098,-1.996874086,-4.496701992,-4.845699624,-4.891317896,-4.957932477,-5.004984545,-5.039905519,-5.091081639,-5.128807658,-5.165342162,-5.197514437,-5.222071289,-5.252779024,-5.28007833,-5.3067772,-5.330294264,-5.358387567,-5.380922471,-5.402537956,-5.432768056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.829769196
8_chr1,0.056252546,-2.877903969,0.075519623,-2.583362756,2.834825591,409,6.013715156,1.79404272,248253911,19.32996262,1.65E-06,-13.31624746,606977.7775,13.31624746,8.280160053,4.404027074,2.657273916,2.081851755,1.980284618,1.908292671,1.813231267,1.728295233,1.656303285,1.585644046,1.528293157,1.488930022,1.454951954,1.420460873,1.386482806,1.363320868,1.339605709,1.316443771,1.294933199,1.271771261,2.113862298,1.482519366,0.977300754,0.733257764,0.683240581,0.646208953,0.595110484,0.547135508,0.504588182,0.460990663,0.424151529,0.398057756,0.374972879,0.350981377,0.326770185,0.309923538,0.292375324,0.274933988,0.25845911,0.240410623,0.02024489,0.010767792,0.006497002,0.005090102,0.004841772,0.004665752,0.004433328,0.004225661,0.004049641,0.00387688,0.003736658,0.003640416,0.00355734,0.003473009,0.003389934,0.003333303,0.00327532,0.003218689,0.003166096,0.003109465,-3.899852858,-4.53119579,-5.036414402,-5.280457392,-5.330474575,-5.367506204,-5.418604672,-5.466579648,-5.509126974,-5.552724493,-5.589563627,-5.6156574,-5.638742277,-5.662733779,-5.686944971,-5.703791618,-5.721339832,-5.738781168,-5.755256046,-5.773304533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79404272
9_chr1,0.085541553,-2.45875302,0.257904738,-1.355164996,2.859515756,506,6.226536669,1.828820266,248253911,19.32996262,2.04E-06,-13.10342595,490620.3775,13.10342595,50.53214866,36.09821118,24.99932795,9.564846127,8.560723628,8.170637365,7.365472041,7.050607149,6.454734589,6.139869697,5.772015821,5.397084374,5.135331236,4.968989875,4.834661408,4.668320047,4.560045291,4.454452462,4.346177707,4.264750475,3.922609741,3.586243312,3.218848943,2.258094516,2.147184723,2.100546919,1.99680314,1.953113734,1.864813906,1.81480352,1.753021382,1.685858877,1.636144347,1.603216575,1.575811097,1.540799274,1.517332556,1.493904149,1.469296771,1.450383674,0.099865906,0.071340338,0.049405786,0.018902858,0.016918426,0.016147505,0.014556269,0.013934006,0.012756392,0.01213413,0.011407146,0.010666175,0.010148876,0.009820138,0.009554667,0.009225929,0.009011947,0.008803266,0.008589284,0.008428361,-2.303926928,-2.640293357,-3.007687727,-3.968442154,-4.079351947,-4.125989751,-4.229733529,-4.273422936,-4.361722763,-4.411733149,-4.473515287,-4.540677792,-4.590392322,-4.623320094,-4.650725572,-4.685737395,-4.709204114,-4.73263252,-4.757239899,-4.776152995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828820266
10_chr1,0.042,-3.170085661,0.054335638,-2.912574951,2.865668671,534,6.280395839,1.83743301,244423799,19.31441416,2.18E-06,-13.03401832,457722.47,13.03401832,1.861106107,1.639734852,1.586388848,1.535000058,1.49097429,1.439585499,1.395736211,1.34434742,1.317257084,1.293822913,1.269257906,1.242822229,1.217766281,1.196854081,1.175930569,1.151109015,1.134262968,1.115806726,1.094411692,1.077565646,0.621170992,0.494534553,0.461460269,0.428530419,0.399429792,0.364355225,0.333422026,0.295908706,0.275551608,0.257601334,0.238432404,0.217384785,0.197018263,0.179696515,0.162059807,0.140725839,0.125983073,0.109577664,0.090216952,0.074704465,0.003485217,0.003070665,0.002970766,0.002874532,0.002792087,0.002695853,0.002613738,0.002517505,0.002466774,0.002422889,0.002376887,0.002327382,0.002280461,0.0022413,0.002202117,0.002155635,0.002124088,0.002089526,0.00204946,0.002017913,-5.659224847,-5.785861286,-5.81893557,-5.85186542,-5.880966047,-5.916040614,-5.946973813,-5.984487133,-6.004844231,-6.022794505,-6.041963435,-6.063011054,-6.083377576,-6.100699324,-6.118336032,-6.13967,-6.154412766,-6.170818175,-6.190178887,-6.205691374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83743301
11_chr1,0.08730354,-2.438364266,0.146624057,-1.919883404,2.85699395,495,6.204557763,1.825284145,248253911,19.32996262,1.99E-06,-13.12540485,501523.0525,13.12540485,30.02558113,19.06031254,15.08065775,14.43797521,13.57175016,13.08790957,12.70130676,12.21746617,11.87072692,11.52368021,11.18745288,10.86847999,10.56118949,10.24609239,9.909865056,9.633047864,9.357808658,9.021581328,8.744764136,8.504175816,3.402049723,2.947608296,2.713412979,2.669861903,2.607990438,2.57168887,2.541704883,2.502866581,2.474075447,2.444404067,2.414792871,2.385866856,2.357185913,2.326896402,2.293530731,2.265199673,2.236211145,2.199619632,2.168455137,2.140557315,0.06065774,0.038505682,0.030465975,0.029167627,0.027417677,0.026440221,0.025659206,0.02468175,0.023981267,0.023280162,0.022600915,0.021956525,0.021335736,0.020699177,0.020019929,0.019460703,0.018904664,0.018225417,0.01766619,0.017180153,-2.80250804,-3.256949467,-3.491144783,-3.53469586,-3.596567324,-3.632868892,-3.66285288,-3.701691182,-3.730482316,-3.760153696,-3.789764891,-3.818690906,-3.84737185,-3.87766136,-3.911027031,-3.93935809,-3.968346617,-4.00493813,-4.036102626,-4.064000447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825284145
